"filename", "language", "C++", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\manio\Desktop\newsc\newsc\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 6, 21
"c:\Users\manio\Desktop\newsc\newsc\docs\index.html", "HTML", 0, 0, 45, 0, 0, 1, 8, 54
"c:\Users\manio\Desktop\newsc\newsc\docs\prism.css", "CSS", 0, 0, 0, 1, 0, 2, 1, 4
"c:\Users\manio\Desktop\newsc\newsc\docs\prism.js", "JavaScript", 0, 0, 0, 0, 7, 2, 1, 10
"c:\Users\manio\Desktop\newsc\newsc\docs\start.html", "HTML", 0, 0, 108, 0, 0, 0, 14, 122
"c:\Users\manio\Desktop\newsc\newsc\docs\syntax.html", "HTML", 0, 0, 377, 0, 0, 2, 104, 483
"c:\Users\manio\Desktop\newsc\newsc\lib\Access.h", "C++", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\manio\Desktop\newsc\newsc\lib\Assign.h", "C++", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\manio\Desktop\newsc\newsc\lib\CustomPredicateExecutor.h", "C++", 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\manio\Desktop\newsc\newsc\lib\Edit.h", "C++", 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\manio\Desktop\newsc\newsc\lib\Fallfront.h", "C++", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\manio\Desktop\newsc\newsc\lib\Number.h", "C++", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\manio\Desktop\newsc\newsc\lib\Object.h", "C++", 25, 0, 0, 0, 0, 1, 7, 33
"c:\Users\manio\Desktop\newsc\newsc\lib\Predicate.h", "C++", 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\manio\Desktop\newsc\newsc\lib\PredicatePart.h", "C++", 32, 0, 0, 0, 0, 0, 6, 38
"c:\Users\manio\Desktop\newsc\newsc\lib\Scope.h", "C++", 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\manio\Desktop\newsc\newsc\lib\Scoped.h", "C++", 17, 0, 0, 0, 0, 1, 6, 24
"c:\Users\manio\Desktop\newsc\newsc\lib\Sequence.h", "C++", 17, 0, 0, 0, 0, 1, 5, 23
"c:\Users\manio\Desktop\newsc\newsc\lib\String.h", "C++", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\manio\Desktop\newsc\newsc\lib\Unscoped.h", "C++", 18, 0, 0, 0, 0, 1, 7, 26
"c:\Users\manio\Desktop\newsc\newsc\lib\Variable.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\manio\Desktop\newsc\newsc\lib\parser.h", "C++", 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\manio\Desktop\newsc\newsc\ns.cpp", "C++", 327, 0, 0, 0, 0, 7, 43, 377
"c:\Users\manio\Desktop\newsc\newsc\src\Access.cpp", "C++", 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\manio\Desktop\newsc\newsc\src\Assign.cpp", "C++", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\manio\Desktop\newsc\newsc\src\CustomPredicateExecutor.cpp", "C++", 155, 0, 0, 0, 0, 2, 21, 178
"c:\Users\manio\Desktop\newsc\newsc\src\Edit.cpp", "C++", 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\manio\Desktop\newsc\newsc\src\Fallfront.cpp", "C++", 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\manio\Desktop\newsc\newsc\src\Number.cpp", "C++", 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\manio\Desktop\newsc\newsc\src\Object.cpp", "C++", 44, 0, 0, 0, 0, 0, 16, 60
"c:\Users\manio\Desktop\newsc\newsc\src\Predicate.cpp", "C++", 76, 0, 0, 0, 0, 13, 10, 99
"c:\Users\manio\Desktop\newsc\newsc\src\PredicatePart.cpp", "C++", 33, 0, 0, 0, 0, 0, 15, 48
"c:\Users\manio\Desktop\newsc\newsc\src\Scope.cpp", "C++", 107, 0, 0, 0, 0, 10, 14, 131
"c:\Users\manio\Desktop\newsc\newsc\src\Scoped.cpp", "C++", 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\manio\Desktop\newsc\newsc\src\Sequence.cpp", "C++", 52, 0, 0, 0, 0, 0, 8, 60
"c:\Users\manio\Desktop\newsc\newsc\src\String.cpp", "C++", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\manio\Desktop\newsc\newsc\src\Unscoped.cpp", "C++", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\manio\Desktop\newsc\newsc\src\Variable.cpp", "C++", 15, 0, 0, 0, 0, 3, 5, 23
"c:\Users\manio\Desktop\newsc\newsc\src\parser.cpp", "C++", 284, 0, 0, 0, 0, 21, 15, 320
"Total", "-", 1561, 15, 530, 1, 7, 67, 407, 2588